name,old time/op (ns/op),±,new time/op (ns/op),±,delta,±
CRC32/poly=Koopman/size=15/align=1-8,3.51500E+01,5%,3.55111E+01,1%,~,(p=0.508 n=10+9)
CRC32/poly=Koopman/size=40/align=0-8,9.16400E+01,9%,8.76500E+01,2%,-4.35%,(p=0.002 n=10+10)
CRC32/poly=Koopman/size=40/align=1-8,9.10800E+01,6%,8.80300E+01,3%,~,(p=0.055 n=10+10)
CRC32/poly=Koopman/size=512/align=0-8,1.13170E+03,5%,1.07590E+03,3%,-4.93%,(p=0.000 n=10+10)
CRC32/poly=Koopman/size=512/align=1-8,1.12680E+03,6%,1.16660E+03,8%,~,(p=0.143 n=10+10)
CRC32/poly=Koopman/size=1kB/align=0-8,2.24333E+03,6%,2.34070E+03,4%,+4.34%,(p=0.010 n=9+10)
CRC32/poly=Koopman/size=1kB/align=1-8,2.14867E+03,2%,2.36010E+03,5%,+9.84%,(p=0.000 n=9+10)
CRC32/poly=Koopman/size=4kB/align=0-8,9.03150E+03,6%,9.00320E+03,6%,~,(p=0.971 n=10+10)
CRC32/poly=Koopman/size=4kB/align=1-8,8.94020E+03,10%,9.04630E+03,12%,~,(p=0.754 n=10+10)
CRC32/poly=Koopman/size=32kB/align=0-8,7.24280E+04,9%,7.29005E+04,4%,~,(p=0.684 n=10+10)
CRC32/poly=Koopman/size=32kB/align=1-8,6.96194E+04,3%,7.42809E+04,3%,+6.70%,(p=0.000 n=8+10)
[Geo mean],3.44668E+02,,2.37855E+02,,-30.99%

name,old speed (MB/s),±,new speed (MB/s),±,delta,±
CRC32/poly=IEEE/size=15/align=0-8,3.20711E+02,8%,3.36950E+02,3%,+5.06%,(p=0.009 n=10+10)
CRC32/poly=IEEE/size=15/align=1-8,3.35516E+02,4%,3.37066E+02,4%,~,(p=0.579 n=10+10)
CRC32/poly=IEEE/size=40/align=0-8,9.74718E+02,1%,9.41823E+02,5%,-3.37%,(p=0.001 n=8+10)
CRC32/poly=IEEE/size=40/align=1-8,9.73636E+02,1%,9.51759E+02,3%,-2.25%,(p=0.000 n=9+10)
CRC32/poly=IEEE/size=512/align=0-8,2.14703E+03,4%,8.96715E+03,3%,+317.65%,(p=0.000 n=10+10)
CRC32/poly=IEEE/size=512/align=1-8,2.16913E+03,3%,8.95606E+03,3%,+312.89%,(p=0.000 n=10+10)
CRC32/poly=IEEE/size=1kB/align=0-8,2.26152E+03,4%,1.08807E+04,2%,+381.12%,(p=0.000 n=10+8)
CRC32/poly=IEEE/size=1kB/align=1-8,2.30619E+03,2%,1.09768E+04,2%,+375.97%,(p=0.000 n=10+8)
CRC32/poly=IEEE/size=4kB/align=0-8,2.35732E+03,7%,1.37258E+04,1%,+482.26%,(p=0.000 n=10+9)
CRC32/poly=IEEE/size=4kB/align=1-8,2.32511E+03,6%,1.36770E+04,3%,+488.23%,(p=0.000 n=10+10)
CRC32/poly=IEEE/size=32kB/align=0-8,2.19443E+03,7%,1.51852E+04,3%,+591.99%,(p=0.000 n=10+10)
CRC32/poly=IEEE/size=32kB/align=1-8,2.31415E+03,8%,1.50437E+04,3%,+550.07%,(p=0.000 n=10+10)
CRC32/poly=Castagnoli/size=15/align=0-8,9.15799E+02,2%,9.20433E+02,2%,~,(p=0.489 n=9+9)
CRC32/poly=Castagnoli/size=15/align=1-8,8.70312E+02,2%,8.67298E+02,2%,~,(p=0.661 n=9+10)
CRC32/poly=Castagnoli/size=40/align=0-8,2.29560E+03,2%,2.28265E+03,4%,~,(p=0.684 n=10+10)
CRC32/poly=Castagnoli/size=40/align=1-8,2.03023E+03,3%,2.06346E+03,2%,~,(p=0.063 n=10+10)
CRC32/poly=Castagnoli/size=512/align=0-8,1.27437E+04,2%,1.27578E+04,4%,~,(p=0.529 n=10+10)
CRC32/poly=Castagnoli/size=512/align=1-8,1.21445E+04,3%,1.22049E+04,1%,~,(p=0.780 n=10+9)
CRC32/poly=Castagnoli/size=1kB/align=0-8,1.56355E+04,1%,1.54766E+04,1%,-1.02%,(p=0.002 n=9+8)
CRC32/poly=Castagnoli/size=1kB/align=1-8,1.46273E+04,6%,1.49597E+04,2%,~,(p=0.211 n=10+9)
CRC32/poly=Castagnoli/size=4kB/align=0-8,2.50862E+04,5%,2.56897E+04,3%,~,(p=0.052 n=10+10)
CRC32/poly=Castagnoli/size=4kB/align=1-8,2.41378E+04,6%,2.52736E+04,3%,+4.71%,(p=0.005 n=10+10)
CRC32/poly=Castagnoli/size=32kB/align=0-8,2.68975E+04,4%,2.68232E+04,5%,~,(p=0.842 n=9+10)
CRC32/poly=Castagnoli/size=32kB/align=1-8,2.59038E+04,3%,2.68422E+04,4%,+3.62%,(p=0.002 n=9+10)
CRC32/poly=Koopman/size=15/align=0-8,4.11932E+02,10%,4.21452E+02,3%,~,(p=0.218 n=10+10)
CRC32/poly=Koopman/size=15/align=1-8,4.27408E+02,5%,4.22362E+02,1%,~,(p=0.497 n=10+9)
CRC32/poly=Koopman/size=40/align=0-8,4.36831E+02,9%,4.56472E+02,2%,+4.50%,(p=0.002 n=10+10)
CRC32/poly=Koopman/size=40/align=1-8,4.39731E+02,6%,4.54515E+02,3%,~,(p=0.052 n=10+10)
CRC32/poly=Koopman/size=512/align=0-8,4.52693E+02,5%,4.75749E+02,3%,+5.09%,(p=0.000 n=10+10)
CRC32/poly=Koopman/size=512/align=1-8,4.54579E+02,6%,4.39685E+02,8%,~,(p=0.143 n=10+10)
CRC32/poly=Koopman/size=1kB/align=0-8,4.52443E+02,9%,4.37629E+02,4%,~,(p=0.052 n=10+10)
CRC32/poly=Koopman/size=1kB/align=1-8,4.76558E+02,2%,4.34042E+02,5%,-8.92%,(p=0.000 n=9+10)
CRC32/poly=Koopman/size=4kB/align=0-8,4.54022E+02,5%,4.55492E+02,6%,~,(p=0.971 n=10+10)
CRC32/poly=Koopman/size=4kB/align=1-8,4.59394E+02,9%,4.54627E+02,11%,~,(p=0.739 n=10+10)
CRC32/poly=Koopman/size=32kB/align=0-8,4.53471E+02,8%,4.49828E+02,4%,~,(p=0.684 n=10+10)
CRC32/poly=Koopman/size=32kB/align=1-8,4.70784E+02,3%,4.41379E+02,3%,-6.25%,(p=0.000 n=8+10)
[Geo mean],1.71221E+03,,2.48066E+03,,+44.88%
